# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_R_0 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/log10_R_0
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_R_0 //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_LOOSE/log10_R_0
Title=$\log_{10}$(Integrated $0$ jet rate in $k_\perp$ [GeV])
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_R_0
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
XLabel=$\log_{10}(d_{\text{cut}}/\text{GeV})$
LegendAlign=r
YLabel=$R_{0}$
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_LOOSE/log10_R_0
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_R_0
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_LOOSE/log10_R_0
Title=h(2*) $\oplus$ PS
XLabel=~
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.722582e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.722583e-01	3.445165e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.445166e-01	4.167748e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.167748e-01	4.890330e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.890331e-01	5.612913e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.612914e-01	6.335496e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.335496e-01	7.058078e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.058079e-01	7.780661e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.780662e-01	8.503244e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.503244e-01	9.225826e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.225827e-01	9.948409e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.948409e-01	1.067099e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.067099e+00	1.139357e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.139358e+00	1.211616e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.211616e+00	1.283874e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283874e+00	1.356132e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.356132e+00	1.428390e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.428391e+00	1.500649e+00	2.247209e-05	0.000000e+00	0.000000e+00
1.500649e+00	1.572907e+00	1.916753e-04	0.000000e+00	0.000000e+00
1.572907e+00	1.645165e+00	8.306957e-04	0.000000e+00	0.000000e+00
1.645165e+00	1.717423e+00	2.667511e-03	0.000000e+00	0.000000e+00
1.717424e+00	1.789682e+00	7.174639e-03	0.000000e+00	0.000000e+00
1.789682e+00	1.861940e+00	1.688373e-02	0.000000e+00	0.000000e+00
1.861940e+00	1.934198e+00	3.560401e-02	0.000000e+00	0.000000e+00
1.934199e+00	2.006457e+00	6.799404e-02	0.000000e+00	0.000000e+00
2.006457e+00	2.078715e+00	1.184635e-01	0.000000e+00	0.000000e+00
2.078715e+00	2.150973e+00	1.888006e-01	0.000000e+00	0.000000e+00
2.150973e+00	2.223231e+00	2.768936e-01	0.000000e+00	0.000000e+00
2.223232e+00	2.295490e+00	3.773420e-01	0.000000e+00	0.000000e+00
2.295490e+00	2.367748e+00	4.831981e-01	0.000000e+00	0.000000e+00
2.367748e+00	2.440006e+00	5.867680e-01	0.000000e+00	0.000000e+00
2.440006e+00	2.512264e+00	6.820517e-01	0.000000e+00	0.000000e+00
