# BEGIN PLOT
RaiotPlotYMin=0.0
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01 //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01
XLabel=$\sqrt{d_{01}}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma / \sqrt{d_{01}}$ (pb/GeV)
RaiotPlotYMax=2.0
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/log10_d_01
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/log10_d_01
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.361292e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.361291e-01	2.722583e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.722583e-01	3.083875e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.083874e-01	3.445165e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.445165e-01	3.806457e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.806457e-01	4.167748e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.167748e-01	4.529039e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.529039e-01	4.890331e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.890331e-01	5.251621e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.251623e-01	5.612913e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.612913e-01	5.974205e-01	0.000000e+00	0.000000e+00	0.000000e+00
5.974204e-01	6.335495e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.335497e-01	6.696787e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.696787e-01	7.058079e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.058080e-01	7.419370e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.419370e-01	7.780660e-01	0.000000e+00	0.000000e+00	0.000000e+00
7.780661e-01	8.141953e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.141954e-01	8.503245e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.503244e-01	8.864534e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.864535e-01	9.225827e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.225828e-01	9.587118e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.587118e-01	9.948408e-01	0.000000e+00	0.000000e+00	0.000000e+00
9.948404e-01	1.030970e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.030970e+00	1.067098e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.067100e+00	1.103228e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.103229e+00	1.139358e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.139357e+00	1.175487e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.175487e+00	1.211615e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.211617e+00	1.247745e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.247746e+00	1.283875e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.283874e+00	1.320002e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.320002e+00	1.356131e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.356132e+00	1.392261e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.392261e+00	1.428391e+00	8.063626e-06	1.610462e-07	0.000000e+00
1.428391e+00	1.464519e+00	4.833151e-05	8.358659e-07	1.069916e-06
1.464519e+00	1.500648e+00	1.422892e-04	7.341969e-06	9.398129e-06
1.500649e+00	1.536778e+00	3.471804e-04	3.571176e-05	2.159650e-05
1.536778e+00	1.572906e+00	6.704838e-04	2.466855e-05	6.367738e-06
1.572906e+00	1.609035e+00	1.280084e-03	5.342163e-05	8.010103e-05
1.609036e+00	1.645165e+00	2.337035e-03	1.165961e-04	1.232716e-04
1.645165e+00	1.681293e+00	4.059896e-03	2.386725e-04	1.530267e-04
1.681294e+00	1.717424e+00	6.672330e-03	1.965984e-04	2.490119e-04
1.717423e+00	1.753552e+00	1.064595e-02	3.129757e-04	4.108805e-04
1.753553e+00	1.789682e+00	1.645815e-02	4.341637e-04	3.384843e-04
1.789682e+00	1.825811e+00	2.460781e-02	5.242409e-04	1.931136e-04
1.825812e+00	1.861940e+00	3.498760e-02	5.720889e-04	3.851200e-04
1.861940e+00	1.898069e+00	4.679402e-02	8.457195e-04	9.224446e-04
1.898069e+00	1.934198e+00	6.046547e-02	1.235296e-03	5.261424e-04
1.934198e+00	1.970328e+00	7.388533e-02	1.362358e-03	5.460282e-04
1.970329e+00	2.006458e+00	8.811517e-02	1.816878e-03	7.351989e-04
2.006458e+00	2.042587e+00	1.011216e-01	1.307094e-03	0.000000e+00
2.042585e+00	2.078714e+00	1.127251e-01	1.795372e-03	1.360680e-04
2.078715e+00	2.114844e+00	1.219203e-01	7.546016e-04	2.519583e-04
2.114845e+00	2.150974e+00	1.268236e-01	0.000000e+00	2.172106e-03
2.150972e+00	2.187101e+00	1.330213e-01	6.616845e-04	0.000000e+00
2.187102e+00	2.223231e+00	1.342516e-01	1.830053e-03	0.000000e+00
2.223231e+00	2.259361e+00	1.316520e-01	2.128121e-03	0.000000e+00
2.259362e+00	2.295491e+00	1.276607e-01	1.688588e-03	6.752747e-04
2.295489e+00	2.331618e+00	1.199318e-01	7.139971e-04	0.000000e+00
2.331619e+00	2.367748e+00	1.110837e-01	2.783830e-03	0.000000e+00
2.367749e+00	2.403878e+00	1.011680e-01	4.707576e-04	0.000000e+00
2.403876e+00	2.440005e+00	9.004794e-02	1.214260e-03	1.682582e-03
2.440006e+00	2.476135e+00	8.008996e-02	3.345263e-03	1.181336e-02
2.476135e+00	2.512265e+00	6.742898e-02	1.078771e-03	0.000000e+00
2.512266e+00	2.548395e+00	5.709989e-02	2.440892e-03	4.812754e-04
2.548393e+00	2.584522e+00	4.851039e-02	3.670182e-03	0.000000e+00
2.584523e+00	2.620652e+00	3.917050e-02	4.436353e-03	0.000000e+00
2.620653e+00	2.656782e+00	3.091486e-02	3.283235e-04	0.000000e+00
2.656780e+00	2.692909e+00	2.516480e-02	1.802037e-03	0.000000e+00
2.692910e+00	2.729039e+00	1.957230e-02	2.009355e-03	0.000000e+00
2.729040e+00	2.765169e+00	1.315946e-02	0.000000e+00	3.744513e-03
2.765168e+00	2.801298e+00	1.006965e-02	7.827290e-06	3.633435e-04
2.801297e+00	2.837426e+00	8.561881e-03	8.955825e-04	0.000000e+00
2.837427e+00	2.873556e+00	5.977686e-03	1.176775e-03	2.753328e-04
2.873557e+00	2.909686e+00	3.724194e-03	1.486064e-05	8.738493e-04
2.909686e+00	2.945815e+00	2.320439e-03	2.482751e-04	4.013383e-04
2.945813e+00	2.981942e+00	1.508927e-03	0.000000e+00	5.148617e-04
2.981943e+00	3.018072e+00	1.170813e-03	1.336987e-04	9.394697e-05
3.018072e+00	3.054202e+00	9.211425e-04	1.566560e-04	1.604384e-04
3.054203e+00	3.090332e+00	3.929948e-04	5.764760e-05	4.879233e-04
3.090330e+00	3.126459e+00	2.343394e-04	1.994609e-04	1.765170e-04
