# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
XLabel=$H_{T,jets}^\text{gap}$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$1/ \sigma \text{d} \sigma/ \text{d} H_{T,jets}^\text{gap}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_gapjets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	1.855745e-04	1.071880e-05	2.124110e-05
3.000000e+01	4.000000e+01	2.680041e-04	1.278770e-05	5.391600e-06
4.000000e+01	5.000000e+01	1.741586e-04	2.825300e-06	0.000000e+00
5.000000e+01	6.000000e+01	1.480138e-04	1.149740e-05	8.980000e-07
6.000000e+01	7.000000e+01	1.319330e-04	9.848900e-06	7.414300e-06
7.000000e+01	8.000000e+01	1.034449e-04	4.940000e-07	9.939000e-07
8.000000e+01	9.000000e+01	8.492677e-05	3.216760e-06	5.284180e-06
9.000000e+01	1.000000e+02	7.097288e-05	7.091740e-06	0.000000e+00
1.000000e+02	1.100000e+02	5.708442e-05	6.389320e-06	2.987490e-06
1.100000e+02	1.200000e+02	4.663182e-05	5.438430e-06	0.000000e+00
1.200000e+02	1.300000e+02	3.641169e-05	7.608910e-06	0.000000e+00
1.300000e+02	1.400000e+02	2.862765e-05	3.250810e-06	2.345670e-06
1.400000e+02	1.500000e+02	2.052282e-05	2.806000e-07	3.089920e-06
1.500000e+02	1.600000e+02	1.869289e-05	3.237130e-06	4.725600e-07
1.600000e+02	1.700000e+02	1.578907e-05	2.995110e-06	1.656490e-06
1.700000e+02	1.800000e+02	1.150268e-05	6.738100e-07	1.076740e-06
1.800000e+02	1.900000e+02	1.009157e-05	1.970123e-06	1.687600e-06
1.900000e+02	2.000000e+02	7.475206e-06	1.070330e-07	1.298741e-06
2.000000e+02	2.100000e+02	6.770940e-06	1.258186e-06	4.279860e-07
2.100000e+02	2.200000e+02	3.829828e-06	0.000000e+00	1.920893e-06
2.200000e+02	2.300000e+02	3.618109e-06	3.075030e-07	9.407240e-07
2.300000e+02	2.400000e+02	4.106027e-06	1.501404e-06	1.408624e-05
2.400000e+02	2.500000e+02	2.472018e-06	3.546951e-06	0.000000e+00
2.500000e+02	2.600000e+02	1.986340e-06	0.000000e+00	1.954030e-07
2.600000e+02	2.700000e+02	2.180823e-06	1.147623e-06	0.000000e+00
2.700000e+02	2.800000e+02	1.521237e-06	4.508810e-07	0.000000e+00
2.800000e+02	2.900000e+02	1.775465e-06	1.003634e-06	0.000000e+00
2.900000e+02	3.000000e+02	1.166534e-06	2.929338e-07	0.000000e+00
3.000000e+02	3.100000e+02	8.217749e-07	1.135586e-07	9.479310e-08
3.100000e+02	3.200000e+02	6.226887e-07	1.706369e-07	5.994160e-08
3.200000e+02	3.300000e+02	3.340313e-07	0.000000e+00	4.375573e-07
3.300000e+02	3.400000e+02	4.038165e-07	2.351278e-07	1.724700e-08
3.400000e+02	3.500000e+02	4.056349e-07	2.553436e-07	1.816102e-07
3.500000e+02	3.600000e+02	1.983667e-07	0.000000e+00	1.455575e-07
3.600000e+02	3.700000e+02	2.995126e-07	9.232710e-08	5.843800e-09
3.700000e+02	3.800000e+02	1.824638e-07	1.899740e-08	1.020085e-07
3.800000e+02	3.900000e+02	1.499351e-07	0.000000e+00	1.551780e-08
3.900000e+02	4.000000e+02	7.410125e-08	0.000000e+00	9.796555e-08
4.000000e+02	4.100000e+02	1.507726e-07	9.322777e-08	0.000000e+00
4.100000e+02	4.200000e+02	1.934190e-07	1.212306e-07	0.000000e+00
4.200000e+02	4.300000e+02	5.021443e-08	0.000000e+00	5.175357e-08
4.300000e+02	4.400000e+02	1.069928e-07	1.578535e-07	0.000000e+00
4.400000e+02	4.500000e+02	7.410031e-08	3.693526e-08	0.000000e+00
4.500000e+02	4.600000e+02	6.605262e-08	3.314140e-08	0.000000e+00
4.600000e+02	4.700000e+02	6.923848e-08	1.355667e-08	7.949730e-09
4.700000e+02	4.800000e+02	3.840319e-08	1.241531e-08	0.000000e+00
4.800000e+02	4.900000e+02	3.774728e-08	2.202371e-08	1.278610e-09
4.900000e+02	5.000000e+02	1.853788e-08	0.000000e+00	4.654480e-08
5.000000e+02	5.100000e+02	2.346150e-08	1.474735e-08	0.000000e+00
5.100000e+02	5.200000e+02	1.296310e-08	3.225051e-09	1.440985e-08
5.200000e+02	5.300000e+02	2.957405e-08	2.034724e-08	1.678560e-09
5.300000e+02	5.400000e+02	3.493673e-08	2.308286e-08	0.000000e+00
5.400000e+02	5.500000e+02	1.202435e-08	3.591392e-09	3.502240e-09
5.500000e+02	5.600000e+02	2.208388e-08	1.025178e-08	2.720635e-08
5.600000e+02	5.700000e+02	9.455237e-09	2.295812e-09	1.782752e-08
5.700000e+02	5.800000e+02	1.055631e-08	3.171622e-09	5.059470e-09
5.800000e+02	5.900000e+02	2.413543e-10	0.000000e+00	1.640872e-08
5.900000e+02	6.000000e+02	1.259859e-08	8.108776e-09	0.000000e+00
6.000000e+02	6.100000e+02	7.668381e-09	2.511763e-09	0.000000e+00
6.100000e+02	6.200000e+02	-3.436977e-09	0.000000e+00	8.485540e-09
6.200000e+02	6.300000e+02	5.262242e-09	1.380454e-09	0.000000e+00
6.300000e+02	6.400000e+02	1.930704e-07	1.910609e-07	0.000000e+00
6.400000e+02	6.500000e+02	-3.657550e-09	0.000000e+00	1.510201e-08
6.500000e+02	6.600000e+02	3.410948e-09	1.760995e-09	0.000000e+00
6.600000e+02	6.700000e+02	1.752587e-09	0.000000e+00	2.237116e-09
6.700000e+02	6.800000e+02	8.716805e-09	8.825737e-09	1.173138e-07
6.800000e+02	6.900000e+02	2.768045e-09	1.387154e-09	2.866370e-09
6.900000e+02	7.000000e+02	2.223757e-09	1.296370e-09	0.000000e+00
7.000000e+02	7.100000e+02	1.563353e-09	4.017240e-10	5.633600e-10
7.100000e+02	7.200000e+02	1.780651e-09	9.320348e-10	0.000000e+00
7.200000e+02	7.300000e+02	2.544662e-09	1.665686e-09	0.000000e+00
7.300000e+02	7.400000e+02	-1.617981e-11	0.000000e+00	1.312177e-09
7.400000e+02	7.500000e+02	7.899465e-10	2.629153e-10	4.501645e-10
7.500000e+02	7.600000e+02	9.756055e-10	0.000000e+00	6.087735e-10
7.600000e+02	7.700000e+02	6.070312e-10	0.000000e+00	7.660798e-10
7.700000e+02	7.800000e+02	2.255713e-09	3.309895e-09	0.000000e+00
7.800000e+02	7.900000e+02	6.889474e-10	8.604269e-10	0.000000e+00
7.900000e+02	8.000000e+02	-9.660312e-10	0.000000e+00	1.456919e-09
8.000000e+02	8.100000e+02	1.906081e-10	0.000000e+00	3.313170e-10
8.100000e+02	8.200000e+02	-8.311028e-11	0.000000e+00	2.501498e-10
8.200000e+02	8.300000e+02	3.247734e-11	5.889034e-10	2.132078e-10
8.300000e+02	8.400000e+02	1.248158e-09	1.088766e-09	0.000000e+00
8.400000e+02	8.500000e+02	-2.664497e-10	1.772475e-09	5.343404e-10
8.500000e+02	8.600000e+02	1.784489e-10	2.100860e-11	1.366803e-10
8.600000e+02	8.700000e+02	2.140736e-10	1.363704e-10	6.132890e-11
8.700000e+02	8.800000e+02	7.102116e-11	1.783411e-11	3.595850e-12
8.800000e+02	8.900000e+02	-2.019625e-11	0.000000e+00	2.522842e-10
8.900000e+02	9.000000e+02	-2.080808e-10	0.000000e+00	2.310213e-09
9.000000e+02	9.100000e+02	-6.398694e-11	0.000000e+00	3.242832e-10
9.100000e+02	9.200000e+02	2.807275e-11	6.412691e-11	7.403375e-11
9.200000e+02	9.300000e+02	1.339037e-10	1.979536e-10	6.157400e-12
9.300000e+02	9.400000e+02	-3.391516e-11	0.000000e+00	3.053832e-10
9.400000e+02	9.500000e+02	-1.518874e-10	0.000000e+00	3.081113e-10
9.500000e+02	9.600000e+02	7.801182e-11	5.610307e-11	0.000000e+00
9.600000e+02	9.700000e+02	-4.498995e-11	0.000000e+00	6.335764e-10
9.700000e+02	9.800000e+02	-2.003903e-10	0.000000e+00	4.335664e-10
9.800000e+02	9.900000e+02	-1.201081e-10	0.000000e+00	1.621251e-10
9.900000e+02	1.000000e+03	1.818900e-10	2.361856e-10	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/HT_gapjets
RatioPlotSameStyle=1
Scale=6.55807371013
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	3.000000e+01	3.420307e-04	0.000000e+00	5.194310e-05
3.000000e+01	4.000000e+01	5.001988e-04	0.000000e+00	4.019250e-05
4.000000e+01	5.000000e+01	3.275961e-04	5.042000e-06	8.763000e-06
5.000000e+01	6.000000e+01	2.666214e-04	0.000000e+00	3.962400e-06
6.000000e+01	7.000000e+01	2.391078e-04	2.321600e-06	1.826300e-05
