# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-odd-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.2
RatioPlotYLabel=Ratio
XLabel=$\Delta \phi_{j_1j_2}^{excl}$ 
LegendAlign=r
YLabel=$1/ \sigma \text{d} \sigma/ \text{d}  \Delta \phi_{j_1j_2}^{excl}$ (pb)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaphi_jj_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBandColor=blue
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
RatioPlotSameStyle=1
Scale=12.5862155767
Title=CP-even
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.047198e-01	2.347212e-02	6.727954e-04	3.008791e-04
1.047198e-01	2.094395e-01	2.327680e-02	5.775800e-04	2.308066e-04
2.094395e-01	3.141593e-01	2.214941e-02	8.156337e-04	1.355618e-04
3.141594e-01	4.188790e-01	2.086183e-02	5.278663e-04	3.501538e-04
4.188790e-01	5.235988e-01	1.948838e-02	4.826021e-04	1.011843e-04
5.235989e-01	6.283186e-01	1.776979e-02	5.022933e-04	8.019503e-05
6.283185e-01	7.330383e-01	1.560514e-02	2.771109e-04	4.249053e-04
7.330384e-01	8.377581e-01	1.341187e-02	4.436128e-04	0.000000e+00
8.377580e-01	9.424778e-01	1.114439e-02	0.000000e+00	1.137321e-04
9.424778e-01	1.047198e+00	8.976715e-03	1.522142e-04	0.000000e+00
1.047197e+00	1.151917e+00	7.051648e-03	1.533084e-04	0.000000e+00
1.151917e+00	1.256637e+00	5.266304e-03	4.925984e-04	0.000000e+00
1.256637e+00	1.361357e+00	3.800369e-03	6.058633e-05	0.000000e+00
1.361357e+00	1.466077e+00	3.076834e-03	4.473272e-04	0.000000e+00
1.466076e+00	1.570796e+00	2.132117e-03	0.000000e+00	3.580057e-05
1.570796e+00	1.675516e+00	2.187986e-03	0.000000e+00	3.495703e-05
1.675516e+00	1.780236e+00	2.920126e-03	8.525688e-05	1.491587e-04
1.780236e+00	1.884956e+00	4.192403e-03	1.289152e-06	5.925516e-05
1.884955e+00	1.989675e+00	6.103923e-03	9.053753e-05	9.575817e-05
1.989675e+00	2.094395e+00	8.591716e-03	1.527464e-04	0.000000e+00
2.094395e+00	2.199115e+00	1.164553e-02	1.263369e-04	2.237204e-04
2.199115e+00	2.303835e+00	1.502610e-02	3.565413e-04	3.473644e-04
2.303834e+00	2.408554e+00	1.897137e-02	5.149782e-04	5.325872e-04
2.408554e+00	2.513274e+00	2.317584e-02	3.551853e-04	0.000000e+00
2.513274e+00	2.617994e+00	2.716174e-02	0.000000e+00	2.824675e-04
2.617994e+00	2.722714e+00	3.118642e-02	1.109845e-03	0.000000e+00
2.722713e+00	2.827433e+00	3.478390e-02	8.391123e-04	0.000000e+00
2.827433e+00	2.932153e+00	3.708619e-02	0.000000e+00	1.742399e-03
2.932153e+00	3.036873e+00	3.896968e-02	8.791253e-04	1.236345e-04
3.036873e+00	3.141593e+00	3.975247e-02	0.000000e+00	1.665307e-03
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/Scale-variation/yodacombine/H-N2-N3-4-25gev-mixed-combine.yoda/MC_H2JETS_04_TIGHT/deltaphi_jj_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
