# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/HT_jets
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/HT_jets //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/HT_jets
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/HT_jets
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_jets
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/HT_jets
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/HT_jets
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
1.480000e+03	1.520000e+03	2.519350e-09	2.812881e-09	2.812881e-09
1.520000e+03	1.560000e+03	9.226557e-10	7.604158e-10	7.604158e-10
1.560000e+03	1.600000e+03	1.870182e-09	4.203255e-10	4.203255e-10
1.600000e+03	1.640000e+03	2.780107e-09	1.267805e-09	1.267805e-09
1.640000e+03	1.680000e+03	5.568765e-10	5.981697e-10	5.981697e-10
1.680000e+03	1.720000e+03	5.949462e-12	7.419153e-10	7.419153e-10
1.720000e+03	1.760000e+03	-3.207423e-10	7.306063e-10	7.306063e-10
1.760000e+03	1.800000e+03	5.307545e-10	6.884167e-10	6.884167e-10
1.800000e+03	1.840000e+03	-1.182954e-10	3.599323e-10	3.599323e-10
1.840000e+03	1.880000e+03	2.511595e-10	1.099244e-10	1.099244e-10
1.880000e+03	1.920000e+03	9.200865e-10	6.124434e-10	6.124434e-10
1.920000e+03	1.960000e+03	1.803636e-10	7.860326e-11	7.860326e-11
1.960000e+03	2.000000e+03	2.416912e-10	6.739344e-11	6.739344e-11
2.000000e+03	2.040000e+03	1.424201e-10	7.523801e-11	7.523801e-11
2.040000e+03	2.080000e+03	1.315121e-10	2.098319e-11	2.098319e-11
2.080000e+03	2.120000e+03	7.539820e-11	2.784751e-11	2.784751e-11
2.120000e+03	2.160000e+03	7.518100e-11	1.659701e-11	1.659701e-11
2.160000e+03	2.200000e+03	1.381485e-10	1.188843e-10	1.188843e-10
2.200000e+03	2.240000e+03	1.493265e-11	2.330634e-11	2.330634e-11
2.240000e+03	2.280000e+03	3.737505e-11	9.046522e-12	9.046522e-12
2.280000e+03	2.320000e+03	1.317535e-11	7.999594e-12	7.999594e-12
2.320000e+03	2.360000e+03	4.782687e-12	1.227908e-11	1.227908e-11
2.360000e+03	2.400000e+03	3.675145e-11	3.136260e-11	3.136260e-11
2.400000e+03	2.440000e+03	3.343722e-11	2.019468e-11	2.019468e-11
2.440000e+03	2.480000e+03	-1.204924e-12	8.335774e-12	8.335774e-12
2.480000e+03	2.520000e+03	6.788125e-12	1.159476e-12	1.159476e-12
2.520000e+03	2.560000e+03	2.576438e-12	1.899793e-12	1.899793e-12
2.560000e+03	2.600000e+03	7.269480e-12	3.390933e-12	3.390933e-12
2.600000e+03	2.640000e+03	1.718941e-11	9.434067e-12	9.434067e-12
2.640000e+03	2.680000e+03	1.271171e-12	4.256287e-12	4.256287e-12
2.680000e+03	2.720000e+03	5.580977e-12	3.798691e-12	3.798691e-12
2.720000e+03	2.760000e+03	3.827550e-12	1.412555e-12	1.412555e-12
2.760000e+03	2.800000e+03	1.336283e-12	2.104313e-13	2.104313e-13
2.800000e+03	2.840000e+03	2.158253e-12	2.852814e-12	2.852814e-12
2.840000e+03	2.880000e+03	3.794192e-13	3.232231e-13	3.232231e-13
2.880000e+03	2.920000e+03	-1.729655e-12	1.856084e-12	1.856084e-12
2.920000e+03	2.960000e+03	4.189482e-13	1.477873e-13	1.477873e-13
2.960000e+03	3.000000e+03	-5.948340e-12	5.882811e-12	5.882811e-12
3.000000e+03	3.040000e+03	4.478987e-13	9.089417e-14	9.089417e-14
3.040000e+03	3.080000e+03	7.114542e-12	6.868424e-12	6.868424e-12
3.080000e+03	3.120000e+03	2.244458e-13	5.747111e-14	5.747111e-14
3.120000e+03	3.160000e+03	1.628305e-13	2.508121e-14	2.508121e-14
3.160000e+03	3.200000e+03	1.295152e-13	2.660869e-14	2.660869e-14
3.200000e+03	3.240000e+03	1.238288e-13	3.613206e-14	3.613206e-14
3.240000e+03	3.280000e+03	3.508405e-14	2.755103e-14	2.755103e-14
3.280000e+03	3.320000e+03	1.391297e-13	9.039621e-14	9.039621e-14
3.320000e+03	3.360000e+03	5.486833e-14	7.984501e-15	7.984501e-15
3.360000e+03	3.400000e+03	1.544886e-14	2.224907e-14	2.224907e-14
3.400000e+03	3.440000e+03	9.353110e-14	5.776437e-14	5.776437e-14
3.440000e+03	3.480000e+03	1.959999e-14	3.103068e-15	3.103068e-15
3.480000e+03	3.520000e+03	5.912043e-15	1.100049e-14	1.100049e-14
3.520000e+03	3.560000e+03	1.197069e-14	3.157184e-15	3.157184e-15
3.560000e+03	3.600000e+03	-4.858360e-14	6.841538e-14	6.841538e-14
3.600000e+03	3.640000e+03	-1.063444e-15	7.521168e-15	7.521168e-15
3.640000e+03	3.680000e+03	1.628236e-14	6.455802e-15	6.455802e-15
3.680000e+03	3.720000e+03	5.910015e-15	1.441592e-15	1.441592e-15
3.720000e+03	3.760000e+03	2.100851e-15	3.825725e-15	3.825725e-15
3.760000e+03	3.800000e+03	3.342648e-15	8.759060e-16	8.759060e-16
3.800000e+03	3.840000e+03	3.923265e-15	2.282272e-15	2.282272e-15
3.840000e+03	3.880000e+03	1.151384e-14	9.250105e-15	9.250105e-15
3.880000e+03	3.920000e+03	6.674685e-16	3.478729e-16	3.478729e-16
3.920000e+03	3.960000e+03	1.497503e-15	4.494362e-16	4.494362e-16
3.960000e+03	4.000000e+03	6.967230e-16	2.029994e-16	2.029994e-16
4.000000e+03	4.040000e+03	8.122517e-17	2.931533e-16	2.931533e-16
4.040000e+03	4.080000e+03	-9.487963e-16	1.187304e-15	1.187304e-15
4.080000e+03	4.120000e+03	1.279104e-16	5.659415e-17	5.659415e-17
4.120000e+03	4.160000e+03	3.462618e-16	1.518676e-16	1.518676e-16
4.160000e+03	4.200000e+03	1.846730e-16	6.853518e-17	6.853518e-17
4.200000e+03	4.240000e+03	7.825025e-16	7.251365e-16	7.251365e-16
4.240000e+03	4.280000e+03	1.679420e-16	6.553428e-17	6.553428e-17
4.280000e+03	4.320000e+03	-7.354373e-17	2.274488e-16	2.274488e-16
4.320000e+03	4.360000e+03	3.331785e-17	1.002899e-17	1.002899e-17
4.360000e+03	4.400000e+03	1.088030e-16	7.409941e-17	7.409941e-17
4.400000e+03	4.440000e+03	1.077508e-17	3.869075e-18	3.869075e-18
4.440000e+03	4.480000e+03	1.816202e-17	7.330014e-18	7.330014e-18
4.480000e+03	4.520000e+03	2.525228e-17	1.404196e-17	1.404196e-17
4.520000e+03	4.560000e+03	6.545045e-18	2.630740e-18	2.630740e-18
4.560000e+03	4.600000e+03	-1.079825e-18	3.877901e-18	3.877901e-18
4.600000e+03	4.640000e+03	2.189258e-18	9.072941e-19	9.072941e-19
4.640000e+03	4.680000e+03	3.404143e-18	1.244216e-18	1.244216e-18
4.680000e+03	4.720000e+03	1.455983e-18	7.587458e-19	7.587458e-19
4.720000e+03	4.760000e+03	9.804805e-19	5.547619e-19	5.547619e-19
4.760000e+03	4.800000e+03	7.205427e-19	4.224003e-19	4.224003e-19
4.800000e+03	4.840000e+03	1.271784e-19	5.663920e-20	5.663920e-20
4.840000e+03	4.880000e+03	3.741415e-18	3.208609e-18	3.208609e-18
4.880000e+03	4.920000e+03	4.392015e-20	1.650627e-20	1.650627e-20
4.920000e+03	4.960000e+03	7.195623e-20	5.374330e-20	5.374330e-20
4.960000e+03	5.000000e+03	1.654925e-19	9.163757e-20	9.163757e-20
5.000000e+03	5.040000e+03	1.863658e-20	9.338894e-21	9.338894e-21
5.040000e+03	5.080000e+03	1.019577e-20	5.639981e-21	5.639981e-21
5.080000e+03	5.120000e+03	1.893165e-20	3.609629e-20	3.609629e-20
5.120000e+03	5.160000e+03	1.512765e-21	1.296691e-21	1.296691e-21
5.160000e+03	5.200000e+03	3.544240e-21	2.721090e-21	2.721090e-21
5.200000e+03	5.240000e+03	3.349275e-21	2.567672e-21	2.567672e-21
5.240000e+03	5.280000e+03	1.431423e-21	9.598245e-22	9.598245e-22
5.280000e+03	5.320000e+03	4.847975e-22	2.731587e-22	2.731587e-22
5.320000e+03	5.360000e+03	2.757430e-22	2.130597e-22	2.130597e-22
5.360000e+03	5.400000e+03	9.097505e-22	7.077374e-22	7.077374e-22
5.400000e+03	5.440000e+03	3.489325e-23	2.037904e-23	2.037904e-23
5.440000e+03	5.480000e+03	5.255103e-23	3.946756e-23	3.946756e-23
5.480000e+03	5.520000e+03	6.269097e-23	5.390624e-23	5.390624e-23
5.520000e+03	5.560000e+03	9.869012e-25	9.527749e-25	9.527749e-25
5.560000e+03	5.600000e+03	1.097154e-24	1.068543e-24	1.068543e-24
5.600000e+03	5.640000e+03	3.067830e-25	3.067265e-25	3.067265e-25
5.640000e+03	5.680000e+03	9.778005e-26	9.697873e-26	9.697873e-26
5.680000e+03	5.720000e+03	5.063098e-26	5.015337e-26	5.015337e-26
5.720000e+03	5.760000e+03	4.029675e-28	4.029677e-28	4.029677e-28
5.760000e+03	5.800000e+03	1.622271e-26	1.604570e-26	1.604570e-26
5.800000e+03	5.840000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.840000e+03	5.880000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.880000e+03	5.920000e+03	-2.368880e-28	2.368879e-28	2.368879e-28
5.920000e+03	5.960000e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.960000e+03	6.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/HT_jets
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/HT_jets
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+01	8.000000e+01	1.238217e-05	3.720835e-08	3.720835e-08
8.000000e+01	1.200000e+02	1.416519e-04	2.035853e-07	2.035853e-07
1.200000e+02	1.600000e+02	3.849372e-04	4.525247e-07	4.525247e-07
1.600000e+02	2.000000e+02	5.232023e-04	8.523834e-07	8.523834e-07
2.000000e+02	2.400000e+02	5.354520e-04	1.249354e-06	1.249354e-06
2.400000e+02	2.800000e+02	4.815178e-04	1.689700e-06	1.689700e-06
2.800000e+02	3.200000e+02	4.046127e-04	1.957208e-06	1.957208e-06
3.200000e+02	3.600000e+02	3.233175e-04	2.181739e-06	2.181739e-06
3.600000e+02	4.000000e+02	2.528905e-04	1.889833e-06	1.889833e-06
4.000000e+02	4.400000e+02	1.978749e-04	1.965743e-06	1.965743e-06
4.400000e+02	4.800000e+02	1.502780e-04	1.770065e-06	1.770065e-06
4.800000e+02	5.200000e+02	1.114359e-04	2.697319e-06	2.697319e-06
5.200000e+02	5.600000e+02	8.656305e-05	1.836991e-06	1.836991e-06
5.600000e+02	6.000000e+02	6.728805e-05	2.963754e-06	2.963754e-06
6.000000e+02	6.400000e+02	4.824593e-05	1.187394e-06	1.187394e-06
6.400000e+02	6.800000e+02	3.578560e-05	1.529627e-06	1.529627e-06
6.800000e+02	7.200000e+02	2.633240e-05	7.027997e-07	7.027997e-07
7.200000e+02	7.600000e+02	2.072755e-05	8.597889e-07	8.597889e-07
7.600000e+02	8.000000e+02	1.422554e-05	6.436354e-07	6.436354e-07
8.000000e+02	8.400000e+02	1.145421e-05	9.649505e-07	9.649505e-07
8.400000e+02	8.800000e+02	8.631135e-06	8.400227e-07	8.400227e-07
8.800000e+02	9.200000e+02	6.459720e-06	3.486433e-07	3.486433e-07
9.200000e+02	9.600000e+02	3.866305e-06	1.027904e-06	1.027904e-06
9.600000e+02	1.000000e+03	3.083803e-06	4.639456e-07	4.639456e-07
1.000000e+03	1.040000e+03	2.472759e-06	2.582689e-07	2.582689e-07
1.040000e+03	1.080000e+03	2.870703e-06	5.298285e-07	5.298285e-07
1.080000e+03	1.120000e+03	1.118210e-06	5.045349e-07	5.045349e-07
1.120000e+03	1.160000e+03	1.130712e-06	1.908538e-07	1.908538e-07
1.160000e+03	1.200000e+03	1.159209e-06	1.080245e-07	1.080245e-07
1.200000e+03	1.240000e+03	6.877365e-07	9.553926e-08	9.553926e-08
1.240000e+03	1.280000e+03	8.502748e-07	2.079606e-07	2.079606e-07
1.280000e+03	1.320000e+03	7.288307e-07	1.967703e-07	1.967703e-07
1.320000e+03	1.360000e+03	3.663428e-07	9.956314e-08	9.956314e-08
1.360000e+03	1.400000e+03	2.560283e-07	8.435446e-08	8.435446e-08
1.400000e+03	1.440000e+03	1.158950e-07	9.030570e-08	9.030570e-08
1.440000e+03	1.480000e+03	2.892080e-07	8.943692e-08	8.943692e-08
1.480000e+03	1.520000e+03	2.027306e-07	5.310502e-08	5.310502e-08
1.520000e+03	1.560000e+03	1.617081e-07	9.437164e-08	9.437164e-08
1.560000e+03	1.600000e+03	1.159049e-08	6.418653e-08	6.418653e-08
1.600000e+03	1.640000e+03	9.166532e-08	3.420079e-08	3.420079e-08
1.640000e+03	1.680000e+03	-3.282950e-09	1.143313e-07	1.143313e-07
1.680000e+03	1.720000e+03	-2.357349e-07	2.970342e-07	2.970342e-07
1.720000e+03	1.760000e+03	4.092302e-08	6.184118e-08	6.184118e-08
1.760000e+03	1.800000e+03	3.629767e-08	1.446744e-08	1.446744e-08
1.800000e+03	1.840000e+03	-7.690145e-07	8.891421e-07	8.891421e-07
1.840000e+03	1.880000e+03	3.318837e-08	2.706598e-08	2.706598e-08
1.880000e+03	1.920000e+03	-3.260900e-08	9.916905e-08	9.916905e-08
1.920000e+03	1.960000e+03	1.252380e-09	4.133090e-08	4.133090e-08
1.960000e+03	2.000000e+03	3.792785e-08	7.463752e-08	7.463752e-08
2.000000e+03	2.040000e+03	1.930400e-08	8.970054e-09	8.970054e-09
2.040000e+03	2.080000e+03	5.345165e-09	1.981068e-08	1.981068e-08
2.080000e+03	2.120000e+03	-1.048377e-08	9.680573e-09	9.680573e-09
2.120000e+03	2.160000e+03	4.195807e-10	9.516124e-09	9.516124e-09
2.160000e+03	2.200000e+03	2.080786e-09	3.875385e-09	3.875385e-09
2.200000e+03	2.240000e+03	1.004360e-08	4.957787e-09	4.957787e-09
2.240000e+03	2.280000e+03	1.447983e-10	3.802639e-09	3.802639e-09
2.280000e+03	2.320000e+03	1.191076e-08	7.778116e-09	7.778116e-09
2.320000e+03	2.360000e+03	-8.503700e-12	6.122152e-09	6.122152e-09
2.360000e+03	2.400000e+03	3.041148e-09	2.744077e-09	2.744077e-09
2.400000e+03	2.440000e+03	1.044651e-09	6.685328e-10	6.685328e-10
2.440000e+03	2.480000e+03	6.674325e-10	4.178596e-10	4.178596e-10
2.480000e+03	2.520000e+03	5.891465e-09	3.602512e-09	3.602512e-09
2.520000e+03	2.560000e+03	-9.093028e-11	6.966868e-10	6.966868e-10
2.560000e+03	2.600000e+03	4.618013e-10	3.993599e-09	3.993599e-09
2.600000e+03	2.640000e+03	-1.069731e-09	1.323927e-09	1.323927e-09
2.640000e+03	2.680000e+03	6.205752e-09	4.824229e-09	4.824229e-09
2.680000e+03	2.720000e+03	7.679058e-10	1.485664e-10	1.485664e-10
2.720000e+03	2.760000e+03	4.930325e-10	1.525785e-10	1.525785e-10
2.760000e+03	2.800000e+03	-4.126160e-09	3.465491e-09	3.465491e-09
2.800000e+03	2.840000e+03	1.915180e-10	2.007908e-10	2.007908e-10
2.840000e+03	2.880000e+03	-3.675280e-09	3.851435e-09	3.851435e-09
2.880000e+03	2.920000e+03	1.452982e-10	1.419125e-10	1.419125e-10
2.920000e+03	2.960000e+03	3.090577e-10	8.424955e-11	8.424955e-11
2.960000e+03	3.000000e+03	2.070902e-10	6.348556e-11	6.348556e-11
3.000000e+03	3.040000e+03	-4.222960e-10	4.803637e-10	4.803637e-10
3.040000e+03	3.080000e+03	3.960618e-11	3.548915e-11	3.548915e-11
3.080000e+03	3.120000e+03	9.140720e-12	6.382672e-11	6.382672e-11
3.120000e+03	3.160000e+03	5.177690e-11	1.272611e-11	1.272611e-11
3.160000e+03	3.200000e+03	-6.358297e-11	9.940130e-11	9.940130e-11
3.200000e+03	3.240000e+03	5.341027e-11	3.154397e-11	3.154397e-11
3.240000e+03	3.280000e+03	3.741057e-11	8.954158e-12	8.954158e-12
3.280000e+03	3.320000e+03	1.908737e-11	7.319860e-12	7.319860e-12
3.320000e+03	3.360000e+03	3.495050e-11	8.336996e-12	8.336996e-12
3.360000e+03	3.400000e+03	1.315328e-11	7.563255e-12	7.563255e-12
3.400000e+03	3.440000e+03	5.173650e-11	4.641902e-11	4.641902e-11
3.440000e+03	3.480000e+03	-6.986535e-11	6.046683e-11	6.046683e-11
3.480000e+03	3.520000e+03	9.921233e-13	2.820352e-12	2.820352e-12
3.520000e+03	3.560000e+03	-1.730608e-10	1.756566e-10	1.756566e-10
3.560000e+03	3.600000e+03	1.724309e-11	1.336156e-11	1.336156e-11
3.600000e+03	3.640000e+03	-2.029827e-10	2.024231e-10	2.024231e-10
3.640000e+03	3.680000e+03	2.689105e-12	2.268712e-12	2.268712e-12
3.680000e+03	3.720000e+03	-4.145032e-12	6.088516e-12	6.088516e-12
3.720000e+03	3.760000e+03	2.226440e-12	1.524745e-12	1.524745e-12
3.760000e+03	3.800000e+03	2.309156e-12	5.511691e-13	5.511691e-13
3.800000e+03	3.840000e+03	1.566012e-12	5.202380e-13	5.202380e-13
3.840000e+03	3.880000e+03	-1.441185e-13	1.090582e-12	1.090582e-12
3.880000e+03	3.920000e+03	1.598332e-13	3.478165e-13	3.478165e-13
3.920000e+03	3.960000e+03	-5.201748e-13	1.397364e-12	1.397364e-12
3.960000e+03	4.000000e+03	4.887117e-13	3.084110e-13	3.084110e-13
4.000000e+03	4.040000e+03	-2.631162e-13	5.451076e-13	5.451076e-13
4.040000e+03	4.080000e+03	2.885735e-13	8.113218e-14	8.113218e-14
4.080000e+03	4.120000e+03	2.070001e-13	7.143603e-14	7.143603e-14
4.120000e+03	4.160000e+03	-1.857895e-13	2.595309e-13	2.595309e-13
4.160000e+03	4.200000e+03	1.120708e-13	3.118175e-14	3.118175e-14
4.200000e+03	4.240000e+03	1.589748e-13	9.270447e-14	9.270447e-14
4.240000e+03	4.280000e+03	-2.243646e-12	2.404782e-12	2.404782e-12
4.280000e+03	4.320000e+03	1.436659e-13	6.271153e-14	6.271153e-14
4.320000e+03	4.360000e+03	-2.539755e-14	8.019028e-14	8.019028e-14
4.360000e+03	4.400000e+03	1.029653e-13	7.119008e-14	7.119008e-14
4.400000e+03	4.440000e+03	3.716937e-14	2.637839e-14	2.637839e-14
4.440000e+03	4.480000e+03	3.117492e-14	1.668372e-14	1.668372e-14
4.480000e+03	4.520000e+03	1.376838e-14	6.052705e-15	6.052705e-15
4.520000e+03	4.560000e+03	1.094550e-14	5.019510e-15	5.019510e-15
4.560000e+03	4.600000e+03	8.923560e-15	3.214592e-15	3.214592e-15
4.600000e+03	4.640000e+03	1.111149e-14	1.039169e-14	1.039169e-14
