# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=2.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
XLabel=$p_{T,hj_1j_2}^{incl}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{incl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/Hjj_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	3.524927e-02	1.539401e-05	1.539401e-05
1.000000e+01	2.000000e+01	2.031026e-02	2.070455e-05	2.070455e-05
2.000000e+01	3.000000e+01	1.078854e-02	1.409231e-05	1.409231e-05
3.000000e+01	4.000000e+01	6.431300e-03	1.167546e-05	1.167546e-05
4.000000e+01	5.000000e+01	3.718582e-03	1.714705e-05	1.714705e-05
5.000000e+01	6.000000e+01	2.076031e-03	1.290520e-05	1.290520e-05
6.000000e+01	7.000000e+01	1.158064e-03	7.764977e-06	7.764977e-06
7.000000e+01	8.000000e+01	6.397768e-04	5.249864e-06	5.249864e-06
8.000000e+01	9.000000e+01	3.467558e-04	3.961957e-06	3.961957e-06
9.000000e+01	1.000000e+02	2.042304e-04	2.781079e-06	2.781079e-06
1.000000e+02	1.100000e+02	1.138286e-04	2.609151e-06	2.609151e-06
1.100000e+02	1.200000e+02	7.470892e-05	5.002497e-06	5.002497e-06
1.200000e+02	1.300000e+02	3.985515e-05	1.257745e-06	1.257745e-06
1.300000e+02	1.400000e+02	2.275874e-05	1.520530e-06	1.520530e-06
1.400000e+02	1.500000e+02	1.413168e-05	3.909013e-07	3.909013e-07
1.500000e+02	1.600000e+02	8.967819e-06	4.766949e-07	4.766949e-07
1.600000e+02	1.700000e+02	5.360352e-06	2.550181e-07	2.550181e-07
1.700000e+02	1.800000e+02	3.531981e-06	2.710711e-07	2.710711e-07
1.800000e+02	1.900000e+02	2.923448e-06	4.462513e-07	4.462513e-07
1.900000e+02	2.000000e+02	1.142637e-06	7.153630e-07	7.153630e-07
2.000000e+02	2.100000e+02	1.221274e-06	3.531572e-07	3.531572e-07
2.100000e+02	2.200000e+02	7.066441e-07	5.555177e-08	5.555177e-08
2.200000e+02	2.300000e+02	4.597265e-07	4.254576e-08	4.254576e-08
2.300000e+02	2.400000e+02	3.145392e-07	2.957436e-08	2.957436e-08
2.400000e+02	2.500000e+02	2.320929e-07	2.545316e-08	2.545316e-08
2.500000e+02	2.600000e+02	1.390882e-07	2.041450e-08	2.041450e-08
2.600000e+02	2.700000e+02	1.141585e-07	1.400332e-08	1.400332e-08
2.700000e+02	2.800000e+02	5.800485e-08	1.013544e-08	1.013544e-08
2.800000e+02	2.900000e+02	8.017511e-08	2.659644e-08	2.659644e-08
2.900000e+02	3.000000e+02	2.480688e-08	4.703202e-09	4.703202e-09
3.000000e+02	3.100000e+02	3.044089e-08	1.585430e-08	1.585430e-08
3.100000e+02	3.200000e+02	2.754169e-08	7.837486e-09	7.837486e-09
3.200000e+02	3.300000e+02	1.667362e-08	2.758324e-09	2.758324e-09
3.300000e+02	3.400000e+02	1.640205e-08	2.985551e-09	2.985551e-09
3.400000e+02	3.500000e+02	3.976494e-09	3.739199e-09	3.739199e-09
3.500000e+02	3.600000e+02	6.712888e-09	1.910183e-09	1.910183e-09
3.600000e+02	3.700000e+02	2.721613e-09	1.707234e-09	1.707234e-09
3.700000e+02	3.800000e+02	2.545664e-09	5.586800e-10	5.586800e-10
3.800000e+02	3.900000e+02	3.731205e-09	1.973669e-09	1.973669e-09
3.900000e+02	4.000000e+02	1.163382e-09	2.572826e-10	2.572826e-10
4.000000e+02	4.100000e+02	1.585369e-09	6.679495e-10	6.679495e-10
4.100000e+02	4.200000e+02	1.758311e-09	5.938095e-10	5.938095e-10
4.200000e+02	4.300000e+02	6.362491e-10	2.780213e-10	2.780213e-10
4.300000e+02	4.400000e+02	3.432126e-10	1.604876e-10	1.604876e-10
4.400000e+02	4.500000e+02	2.310678e-10	9.000939e-11	9.000939e-11
4.500000e+02	4.600000e+02	1.669047e-10	7.642262e-11	7.642262e-11
4.600000e+02	4.700000e+02	1.888131e-10	5.228098e-11	5.228098e-11
4.700000e+02	4.800000e+02	7.930310e-11	3.198278e-10	3.198278e-10
4.800000e+02	4.900000e+02	1.736635e-10	1.211949e-10	1.211949e-10
4.900000e+02	5.000000e+02	5.897891e-11	2.628853e-11	2.628853e-11
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Scale=6.4701676744
Title=CP-mixed
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.386817e-03	1.310801e-05	1.310801e-05
1.000000e+01	2.000000e+01	3.251537e-03	8.786645e-06	8.786645e-06
2.000000e+01	3.000000e+01	2.072297e-03	9.407580e-06	9.407580e-06
3.000000e+01	4.000000e+01	1.534509e-03	8.279778e-06	8.279778e-06
4.000000e+01	5.000000e+01	1.133035e-03	9.844453e-06	9.844453e-06
5.000000e+01	6.000000e+01	8.568863e-04	8.299998e-06	8.299998e-06
6.000000e+01	7.000000e+01	6.150006e-04	6.772642e-06	6.772642e-06
7.000000e+01	8.000000e+01	4.494100e-04	5.446884e-06	5.446884e-06
8.000000e+01	9.000000e+01	3.293479e-04	1.113786e-05	1.113786e-05
9.000000e+01	1.000000e+02	2.289253e-04	3.409934e-06	3.409934e-06
1.000000e+02	1.100000e+02	1.587725e-04	4.273060e-06	4.273060e-06
1.100000e+02	1.200000e+02	1.233380e-04	5.000812e-06	5.000812e-06
1.200000e+02	1.300000e+02	8.102817e-05	2.209514e-06	2.209514e-06
1.300000e+02	1.400000e+02	6.223955e-05	2.092764e-06	2.092764e-06
1.400000e+02	1.500000e+02	4.778319e-05	4.188707e-06	4.188707e-06
1.500000e+02	1.600000e+02	3.144426e-05	1.112166e-06	1.112166e-06
1.600000e+02	1.700000e+02	2.349421e-05	1.060248e-06	1.060248e-06
1.700000e+02	1.800000e+02	1.616625e-05	7.964442e-07	7.964442e-07
1.800000e+02	1.900000e+02	1.234137e-05	1.405979e-06	1.405979e-06
1.900000e+02	2.000000e+02	9.883982e-06	5.756680e-07	5.756680e-07
2.000000e+02	2.100000e+02	7.434140e-06	5.078165e-07	5.078165e-07
2.100000e+02	2.200000e+02	3.977423e-06	1.602901e-06	1.602901e-06
2.200000e+02	2.300000e+02	4.435845e-06	7.403037e-07	7.403037e-07
2.300000e+02	2.400000e+02	4.625330e-06	1.476100e-06	1.476100e-06
2.400000e+02	2.500000e+02	2.388778e-06	2.163253e-07	2.163253e-07
2.500000e+02	2.600000e+02	1.676158e-06	3.623384e-07	3.623384e-07
2.600000e+02	2.700000e+02	2.542461e-06	1.035924e-06	1.035924e-06
2.700000e+02	2.800000e+02	3.403795e-07	6.725695e-07	6.725695e-07
2.800000e+02	2.900000e+02	7.485419e-07	1.311532e-07	1.311532e-07
2.900000e+02	3.000000e+02	6.298853e-07	5.715240e-08	5.715240e-08
3.000000e+02	3.100000e+02	5.118203e-07	5.234808e-08	5.234808e-08
3.100000e+02	3.200000e+02	6.344081e-07	2.909196e-07	2.909196e-07
3.200000e+02	3.300000e+02	3.062715e-07	5.703515e-08	5.703515e-08
3.300000e+02	3.400000e+02	1.426609e-07	4.583265e-08	4.583265e-08
3.400000e+02	3.500000e+02	1.701167e-07	4.289629e-08	4.289629e-08
3.500000e+02	3.600000e+02	1.298728e-07	5.790190e-08	5.790190e-08
3.600000e+02	3.700000e+02	9.815738e-08	2.014402e-08	2.014402e-08
3.700000e+02	3.800000e+02	9.028138e-08	1.764663e-08	1.764663e-08
3.800000e+02	3.900000e+02	-3.186065e-08	8.375307e-08	8.375307e-08
3.900000e+02	4.000000e+02	9.721341e-08	3.439988e-08	3.439988e-08
4.000000e+02	4.100000e+02	9.022310e-08	2.920021e-08	2.920021e-08
4.100000e+02	4.200000e+02	4.252139e-08	1.049883e-08	1.049883e-08
4.200000e+02	4.300000e+02	1.253671e-09	2.664974e-08	2.664974e-08
4.300000e+02	4.400000e+02	3.956866e-08	7.517911e-09	7.517911e-09
4.400000e+02	4.500000e+02	2.511625e-08	6.777861e-09	6.777861e-09
4.500000e+02	4.600000e+02	2.547186e-08	8.614559e-09	8.614559e-09
4.600000e+02	4.700000e+02	1.822813e-08	4.615874e-09	4.615874e-09
4.700000e+02	4.800000e+02	1.268103e-08	4.727657e-09	4.727657e-09
4.800000e+02	4.900000e+02	1.232747e-08	3.056677e-09	3.056677e-09
4.900000e+02	5.000000e+02	1.118679e-08	2.707815e-09	2.707815e-09
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Scale=12.5152858573
Title=CP-mixed-ffac1
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.880438e-03	4.546244e-06	4.546244e-06
1.000000e+01	2.000000e+01	2.023678e-03	3.486372e-06	3.486372e-06
2.000000e+01	3.000000e+01	1.159051e-03	3.877898e-06	3.877898e-06
3.000000e+01	4.000000e+01	7.196639e-04	2.888707e-06	2.888707e-06
4.000000e+01	5.000000e+01	4.592942e-04	3.104573e-06	3.104573e-06
5.000000e+01	6.000000e+01	2.864436e-04	2.912280e-06	2.912280e-06
6.000000e+01	7.000000e+01	1.795149e-04	2.007479e-06	2.007479e-06
7.000000e+01	8.000000e+01	1.071287e-04	2.095113e-06	2.095113e-06
8.000000e+01	9.000000e+01	7.299515e-05	4.109917e-06	4.109917e-06
9.000000e+01	1.000000e+02	3.857537e-05	1.678900e-06	1.678900e-06
1.000000e+02	1.100000e+02	2.503657e-05	1.160762e-06	1.160762e-06
1.100000e+02	1.200000e+02	1.589945e-05	1.220740e-06	1.220740e-06
1.200000e+02	1.300000e+02	9.557020e-06	6.821548e-07	6.821548e-07
1.300000e+02	1.400000e+02	4.846813e-06	4.454873e-07	4.454873e-07
1.400000e+02	1.500000e+02	3.254938e-06	5.011921e-07	5.011921e-07
1.500000e+02	1.600000e+02	1.191498e-06	5.706464e-07	5.706464e-07
1.600000e+02	1.700000e+02	1.294713e-06	2.724664e-07	2.724664e-07
1.700000e+02	1.800000e+02	8.793432e-07	1.694088e-07	1.694088e-07
1.800000e+02	1.900000e+02	1.714977e-07	3.475779e-07	3.475779e-07
1.900000e+02	2.000000e+02	4.037198e-07	1.301631e-07	1.301631e-07
2.000000e+02	2.100000e+02	2.563139e-07	6.757122e-08	6.757122e-08
2.100000e+02	2.200000e+02	1.664283e-07	7.476675e-08	7.476675e-08
2.200000e+02	2.300000e+02	2.299875e-07	1.153812e-07	1.153812e-07
2.300000e+02	2.400000e+02	6.084313e-08	4.543929e-08	4.543929e-08
2.400000e+02	2.500000e+02	6.394371e-08	3.939509e-08	3.939509e-08
2.500000e+02	2.600000e+02	-1.267425e-09	6.108480e-08	6.108480e-08
2.600000e+02	2.700000e+02	3.583382e-08	4.017062e-08	4.017062e-08
2.700000e+02	2.800000e+02	5.626882e-08	4.175856e-08	4.175856e-08
2.800000e+02	2.900000e+02	9.941856e-09	1.293068e-08	1.293068e-08
2.900000e+02	3.000000e+02	-9.879714e-09	1.142336e-08	1.142336e-08
3.000000e+02	3.100000e+02	2.045087e-09	9.709652e-09	9.709652e-09
3.100000e+02	3.200000e+02	2.230576e-08	1.143284e-08	1.143284e-08
3.200000e+02	3.300000e+02	9.150349e-09	5.559330e-09	5.559330e-09
3.300000e+02	3.400000e+02	6.174285e-09	6.216837e-09	6.216837e-09
3.400000e+02	3.500000e+02	3.554593e-10	3.716866e-09	3.716866e-09
3.500000e+02	3.600000e+02	3.466939e-09	4.586195e-09	4.586195e-09
3.600000e+02	3.700000e+02	-1.284411e-09	2.124307e-09	2.124307e-09
3.700000e+02	3.800000e+02	-1.575313e-09	1.808881e-09	1.808881e-09
3.800000e+02	3.900000e+02	4.562772e-09	2.542509e-09	2.542509e-09
3.900000e+02	4.000000e+02	-5.927372e-10	1.648569e-09	1.648569e-09
4.000000e+02	4.100000e+02	1.252308e-09	2.487926e-09	2.487926e-09
4.100000e+02	4.200000e+02	-1.571246e-09	9.965366e-10	9.965366e-10
4.200000e+02	4.300000e+02	-1.576930e-09	8.094753e-10	8.094753e-10
4.300000e+02	4.400000e+02	-1.910128e-10	4.096771e-10	4.096771e-10
4.400000e+02	4.500000e+02	7.756429e-10	1.132549e-09	1.132549e-09
4.500000e+02	4.600000e+02	3.768621e-10	3.851781e-10	3.851781e-10
4.600000e+02	4.700000e+02	-1.884456e-10	1.449284e-10	1.449284e-10
4.700000e+02	4.800000e+02	-1.839852e-10	1.879896e-10	1.879896e-10
4.800000e+02	4.900000e+02	2.694985e-10	5.326504e-10	5.326504e-10
4.900000e+02	5.000000e+02	-5.310710e-13	1.037133e-10	1.037133e-10
# END HISTO1D


# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
ErrorBars=1
LineColor=orange
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_incl
Scale=6.91285653058
Title=CP-mixed-ffac2
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	4.252038e-03	9.474939e-06	9.474939e-06
1.000000e+01	2.000000e+01	3.121321e-03	7.885286e-06	7.885286e-06
2.000000e+01	3.000000e+01	1.938178e-03	1.279368e-05	1.279368e-05
3.000000e+01	4.000000e+01	1.434166e-03	9.634033e-06	9.634033e-06
4.000000e+01	5.000000e+01	1.045575e-03	9.323600e-06	9.323600e-06
5.000000e+01	6.000000e+01	7.703077e-04	5.573188e-06	5.573188e-06
6.000000e+01	7.000000e+01	5.529333e-04	5.629476e-06	5.629476e-06
7.000000e+01	8.000000e+01	3.909236e-04	4.581966e-06	4.581966e-06
8.000000e+01	9.000000e+01	2.789279e-04	6.167816e-06	6.167816e-06
9.000000e+01	1.000000e+02	1.990718e-04	2.745858e-06	2.745858e-06
1.000000e+02	1.100000e+02	1.405667e-04	4.547503e-06	4.547503e-06
1.100000e+02	1.200000e+02	8.999498e-05	8.056749e-06	8.056749e-06
1.200000e+02	1.300000e+02	6.708410e-05	2.020866e-06	2.020866e-06
1.300000e+02	1.400000e+02	4.914719e-05	2.101224e-06	2.101224e-06
1.400000e+02	1.500000e+02	3.341252e-05	1.966373e-06	1.966373e-06
1.500000e+02	1.600000e+02	3.045149e-05	2.305110e-06	2.305110e-06
1.600000e+02	1.700000e+02	1.714226e-05	9.538427e-07	9.538427e-07
1.700000e+02	1.800000e+02	1.327372e-05	7.683978e-07	7.683978e-07
1.800000e+02	1.900000e+02	1.041000e-05	6.547005e-07	6.547005e-07
1.900000e+02	2.000000e+02	7.739944e-06	4.150466e-07	4.150466e-07
2.000000e+02	2.100000e+02	7.019280e-06	1.388515e-06	1.388515e-06
2.100000e+02	2.200000e+02	3.424567e-06	5.345145e-07	5.345145e-07
2.200000e+02	2.300000e+02	2.859668e-06	2.348261e-07	2.348261e-07
2.300000e+02	2.400000e+02	2.599497e-06	3.652524e-07	3.652524e-07
2.400000e+02	2.500000e+02	1.988233e-06	2.330231e-07	2.330231e-07
2.500000e+02	2.600000e+02	1.224387e-06	1.543936e-07	1.543936e-07
2.600000e+02	2.700000e+02	5.910712e-07	3.791181e-07	3.791181e-07
2.700000e+02	2.800000e+02	6.276975e-07	9.443758e-08	9.443758e-08
2.800000e+02	2.900000e+02	5.586454e-07	8.073162e-08	8.073162e-08
2.900000e+02	3.000000e+02	5.662388e-07	1.039206e-07	1.039206e-07
3.000000e+02	3.100000e+02	3.133384e-07	6.246853e-08	6.246853e-08
3.100000e+02	3.200000e+02	3.110845e-07	5.314344e-08	5.314344e-08
3.200000e+02	3.300000e+02	2.559896e-07	6.046486e-08	6.046486e-08
3.300000e+02	3.400000e+02	2.306519e-07	5.114518e-08	5.114518e-08
3.400000e+02	3.500000e+02	2.095609e-07	1.135675e-07	1.135675e-07
3.500000e+02	3.600000e+02	3.853620e-08	2.320985e-08	2.320985e-08
3.600000e+02	3.700000e+02	3.919913e-08	2.053153e-08	2.053153e-08
3.700000e+02	3.800000e+02	5.485140e-08	1.912982e-08	1.912982e-08
3.800000e+02	3.900000e+02	1.284609e-08	3.464174e-08	3.464174e-08
3.900000e+02	4.000000e+02	7.684975e-08	3.212314e-08	3.212314e-08
4.000000e+02	4.100000e+02	8.524369e-10	4.148161e-08	4.148161e-08
4.100000e+02	4.200000e+02	2.857633e-08	7.402194e-09	7.402194e-09
4.200000e+02	4.300000e+02	2.417913e-08	6.905730e-09	6.905730e-09
4.300000e+02	4.400000e+02	1.286491e-08	3.768624e-09	3.768624e-09
4.400000e+02	4.500000e+02	5.661149e-09	6.487306e-09	6.487306e-09
4.500000e+02	4.600000e+02	1.180185e-08	4.730692e-09	4.730692e-09
4.600000e+02	4.700000e+02	5.021057e-09	2.508379e-09	2.508379e-09
4.700000e+02	4.800000e+02	4.984584e-09	1.062652e-09	1.062652e-09
4.800000e+02	4.900000e+02	6.677797e-09	1.978894e-09	1.978894e-09
4.900000e+02	5.000000e+02	4.533794e-09	1.601268e-09	1.601268e-09
# END HISTO1D

