# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac1-400GeV.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-mixed-ffac2-400GeV.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt
XLabel=$\overline{P_{T,j_1j_2}}$ (GeV)
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$ 
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/avgNGapJets_pt
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev/plots/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/avgNGapJets_pt
Scale=1.23132253028
Title=SM
XLabel=ptbar
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	nan	nan	nan
1.000000e+01	2.000000e+01	nan	nan	nan
2.000000e+01	3.000000e+01	1.035853e+00	5.177195e-03	5.177195e-03
3.000000e+01	4.000000e+01	1.050816e+00	2.697601e-03	2.697601e-03
4.000000e+01	5.000000e+01	1.078642e+00	1.591673e-03	1.591673e-03
5.000000e+01	6.000000e+01	1.091322e+00	8.641479e-03	8.641479e-03
6.000000e+01	7.000000e+01	1.104753e+00	2.701211e-03	2.701211e-03
7.000000e+01	8.000000e+01	1.108921e+00	2.711310e-03	2.711310e-03
8.000000e+01	9.000000e+01	1.112466e+00	3.392603e-03	3.392603e-03
9.000000e+01	1.000000e+02	1.125347e+00	4.524254e-03	4.524254e-03
1.000000e+02	1.100000e+02	1.118853e+00	5.318790e-03	5.318790e-03
1.100000e+02	1.200000e+02	1.130354e+00	5.488772e-03	5.488772e-03
1.200000e+02	1.300000e+02	1.130170e+00	6.183796e-03	6.183796e-03
1.300000e+02	1.400000e+02	1.119297e+00	8.082582e-03	8.082582e-03
1.400000e+02	1.500000e+02	1.141762e+00	1.101068e-02	1.101068e-02
1.500000e+02	1.600000e+02	1.127382e+00	2.019731e-02	2.019731e-02
1.600000e+02	1.700000e+02	1.222091e+00	4.789415e-02	4.789415e-02
1.700000e+02	1.800000e+02	1.143131e+00	1.107994e-02	1.107994e-02
1.800000e+02	1.900000e+02	1.109246e+00	2.454962e-02	2.454962e-02
1.900000e+02	2.000000e+02	1.446999e+00	1.319905e-01	1.319905e-01
2.000000e+02	2.100000e+02	1.164634e+00	3.348175e-02	3.348175e-02
2.100000e+02	2.200000e+02	1.144062e+00	2.788257e-02	2.788257e-02
2.200000e+02	2.300000e+02	1.130241e+00	3.234303e-02	3.234303e-02
2.300000e+02	2.400000e+02	1.160228e+00	3.606865e-02	3.606865e-02
2.400000e+02	2.500000e+02	1.141234e+00	5.823265e-02	5.823265e-02
2.500000e+02	2.600000e+02	1.118595e+00	5.856815e-02	5.856815e-02
2.600000e+02	2.700000e+02	1.130882e+00	4.003713e-01	4.003713e-01
2.700000e+02	2.800000e+02	1.170614e+00	4.891674e-02	4.891674e-02
2.800000e+02	2.900000e+02	1.188768e+00	6.344660e-02	6.344660e-02
2.900000e+02	3.000000e+02	1.049848e+00	9.938338e-02	9.938338e-02
3.000000e+02	3.100000e+02	1.213842e+00	7.120601e-02	7.120601e-02
3.100000e+02	3.200000e+02	1.232869e+00	7.214883e-02	7.214883e-02
3.200000e+02	3.300000e+02	9.845769e-01	nan	nan
3.300000e+02	3.400000e+02	1.158976e+00	9.427445e-02	9.427445e-02
3.400000e+02	3.500000e+02	1.163720e+00	7.368682e-02	7.368682e-02
3.500000e+02	3.600000e+02	1.049524e+00	7.781923e-02	7.781923e-02
3.600000e+02	3.700000e+02	1.120640e+00	8.117651e-02	8.117651e-02
3.700000e+02	3.800000e+02	1.175710e+00	5.609406e-02	5.609406e-02
3.800000e+02	3.900000e+02	7.994631e-01	3.312258e-01	3.312258e-01
