# BEGIN PLOT
LegendOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/avgNGapJets_dy //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
DrawOnly=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/avgNGapJets_dy //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
Title=CP-mixed
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
RightMargin=0.5
RatioPlotReference=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
XLabel=$\Delta y_{j_1j_2}$
LegendAlign=r
YLabel=$\langle N_{gap} \rangle$
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_INC/avgNGapJets_dy
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
Title=h(2*) $\oplus$ PS
XLabel=dyjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.034565e+00	5.838619e-04	5.838619e-04
4.000000e-01	8.000000e-01	1.091371e+00	7.373771e-04	7.373771e-04
8.000000e-01	1.200000e+00	1.144085e+00	8.913270e-04	8.913270e-04
1.200000e+00	1.600000e+00	1.171914e+00	6.097543e-04	6.097543e-04
1.600000e+00	2.000000e+00	1.185156e+00	7.791441e-04	7.791441e-04
2.000000e+00	2.400000e+00	1.187307e+00	6.447590e-04	6.447590e-04
2.400000e+00	2.800000e+00	1.188236e+00	5.792762e-04	5.792762e-04
2.800000e+00	3.200000e+00	1.188899e+00	1.043314e-03	1.043314e-03
3.200000e+00	3.600000e+00	1.184793e+00	6.285435e-04	6.285435e-04
3.600000e+00	4.000000e+00	1.178883e+00	6.754946e-04	6.754946e-04
4.000000e+00	4.400000e+00	1.173466e+00	7.265510e-04	7.265510e-04
4.400000e+00	4.800000e+00	1.168468e+00	8.181508e-04	8.181508e-04
4.800000e+00	5.200000e+00	1.160614e+00	8.707378e-04	8.707378e-04
5.200000e+00	5.600000e+00	1.152780e+00	1.062989e-03	1.062989e-03
5.600000e+00	6.000000e+00	1.147469e+00	1.348448e-03	1.348448e-03
6.000000e+00	6.400000e+00	1.136049e+00	1.462498e-03	1.462498e-03
6.400000e+00	6.800000e+00	1.123993e+00	2.440080e-03	2.440080e-03
6.800000e+00	7.200000e+00	1.112578e+00	2.632154e-03	2.632154e-03
7.200000e+00	7.600000e+00	1.111759e+00	3.454972e-03	3.454972e-03
7.600000e+00	8.000000e+00	1.096695e+00	4.249759e-03	4.249759e-03
# END HISTO1D


# BEGIN HISTO1D //homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//homes/n597m389/Formfactor/ffac-plots/H2Jets-NLOPS-mixed-ffac.yoda/MC_H2JETS_04_INC/avgNGapJets_dy
Title=h(2*) $\oplus$ PS-ffac
XLabel=dyjj
YLabel=~
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e-01	1.015621e+00	4.131151e-04	4.131151e-04
4.000000e-01	8.000000e-01	1.040519e+00	4.667018e-04	4.667018e-04
8.000000e-01	1.200000e+00	1.063573e+00	5.079279e-04	5.079279e-04
1.200000e+00	1.600000e+00	1.075774e+00	3.963176e-04	3.963176e-04
1.600000e+00	2.000000e+00	1.082873e+00	4.498465e-04	4.498465e-04
2.000000e+00	2.400000e+00	1.088058e+00	3.902991e-04	3.902991e-04
2.400000e+00	2.800000e+00	1.091953e+00	3.500215e-04	3.500215e-04
2.800000e+00	3.200000e+00	1.096001e+00	3.317437e-04	3.317437e-04
3.200000e+00	3.600000e+00	1.099362e+00	3.810409e-04	3.810409e-04
3.600000e+00	4.000000e+00	1.101815e+00	3.369959e-04	3.369959e-04
4.000000e+00	4.400000e+00	1.103119e+00	3.555942e-04	3.555942e-04
4.400000e+00	4.800000e+00	1.104406e+00	9.101768e-04	9.101768e-04
4.800000e+00	5.200000e+00	1.104163e+00	4.335905e-04	4.335905e-04
5.200000e+00	5.600000e+00	1.102693e+00	4.960048e-04	4.960048e-04
5.600000e+00	6.000000e+00	1.099908e+00	5.730765e-04	5.730765e-04
6.000000e+00	6.400000e+00	1.096352e+00	7.180376e-04	7.180376e-04
6.400000e+00	6.800000e+00	1.093138e+00	9.194957e-04	9.194957e-04
6.800000e+00	7.200000e+00	1.086273e+00	1.109511e-03	1.109511e-03
7.200000e+00	7.600000e+00	1.078290e+00	1.583303e-03	1.583303e-03
7.600000e+00	8.000000e+00	1.075480e+00	2.234708e-03	2.234708e-03
# END HISTO1D

