# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_mass
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_mass
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=3.0
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/jet4_mass //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/jet4_mass
XLabel=$m_{j_4}$ (GeV)
LegendAlign=r
XMax=60.0
YLabel=$ \text{d} \sigma/ \text{d}  m_{j_4}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/jet4_mass
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_mass
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/jet4_mass
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	5.426367e-03	4.231639e-05	4.231639e-05
1.000000e+00	2.000000e+00	7.274453e-04	1.381172e-05	1.381172e-05
2.000000e+00	3.000000e+00	7.139020e-04	4.061571e-05	4.061571e-05
3.000000e+00	4.000000e+00	2.141452e-03	2.443909e-05	2.443909e-05
4.000000e+00	5.000000e+00	2.544753e-03	1.115172e-04	1.115172e-04
5.000000e+00	6.000000e+00	1.753531e-03	3.048092e-05	3.048092e-05
6.000000e+00	7.000000e+00	1.122194e-03	1.439219e-05	1.439219e-05
7.000000e+00	8.000000e+00	6.487411e-04	3.432192e-05	3.432192e-05
8.000000e+00	9.000000e+00	3.533617e-04	6.977227e-06	6.977227e-06
9.000000e+00	1.000000e+01	2.254591e-04	7.862467e-06	7.862467e-06
1.000000e+01	1.100000e+01	1.628006e-04	6.262072e-06	6.262072e-06
1.100000e+01	1.200000e+01	9.958610e-05	6.332773e-06	6.332773e-06
1.200000e+01	1.300000e+01	1.010824e-04	2.937126e-05	2.937126e-05
1.300000e+01	1.400000e+01	4.989298e-05	1.831354e-06	1.831354e-06
1.400000e+01	1.500000e+01	3.378426e-05	2.783533e-06	2.783533e-06
1.500000e+01	1.600000e+01	2.220277e-05	3.130229e-06	3.130229e-06
1.600000e+01	1.700000e+01	1.350235e-05	1.327726e-06	1.327726e-06
1.700000e+01	1.800000e+01	7.648937e-06	8.436870e-07	8.436870e-07
1.800000e+01	1.900000e+01	5.922750e-06	4.399587e-07	4.399587e-07
1.900000e+01	2.000000e+01	2.989472e-06	2.750990e-07	2.750990e-07
2.000000e+01	2.100000e+01	2.651187e-06	1.096983e-06	1.096983e-06
2.100000e+01	2.200000e+01	9.997634e-07	2.335846e-07	2.335846e-07
2.200000e+01	2.300000e+01	6.169462e-07	1.559356e-07	1.559356e-07
2.300000e+01	2.400000e+01	3.189444e-07	2.087082e-07	2.087082e-07
2.400000e+01	2.500000e+01	2.997682e-07	8.169064e-08	8.169064e-08
2.500000e+01	2.600000e+01	2.233525e-07	5.501203e-08	5.501203e-08
2.600000e+01	2.700000e+01	4.249352e-08	5.400353e-08	5.400353e-08
2.700000e+01	2.800000e+01	1.576042e-07	4.440914e-08	4.440914e-08
2.800000e+01	2.900000e+01	2.847930e-08	1.523966e-08	1.523966e-08
2.900000e+01	3.000000e+01	4.076791e-08	9.355306e-09	9.355306e-09
3.000000e+01	3.100000e+01	4.573129e-08	2.175128e-08	2.175128e-08
3.100000e+01	3.200000e+01	4.743727e-08	3.207532e-08	3.207532e-08
