# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
Title=h(2*,3*,4)
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/deltaR_H_j1_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	2.292179e-04	1.156117e-05	1.156117e-05
2.000000e-01	4.000000e-01	6.458150e-04	1.214432e-05	1.214432e-05
4.000000e-01	6.000000e-01	1.150644e-03	2.446836e-05	2.446836e-05
6.000000e-01	8.000000e-01	1.664173e-03	5.557817e-05	5.557817e-05
8.000000e-01	1.000000e+00	2.367655e-03	2.799677e-05	2.799677e-05
1.000000e+00	1.200000e+00	3.290102e-03	2.840046e-05	2.840046e-05
1.200000e+00	1.400000e+00	4.803483e-03	1.415425e-04	1.415425e-04
1.400000e+00	1.600000e+00	6.886890e-03	4.360299e-05	4.360299e-05
1.600000e+00	1.800000e+00	1.145416e-02	2.532177e-04	2.532177e-04
1.800000e+00	2.000000e+00	2.023970e-02	6.923251e-05	6.923251e-05
2.000000e+00	2.200000e+00	3.778734e-02	1.234598e-04	1.234598e-04
2.200000e+00	2.400000e+00	6.796250e-02	2.400239e-04	2.400239e-04
2.400000e+00	2.600000e+00	1.144263e-01	5.852713e-04	5.852713e-04
2.600000e+00	2.800000e+00	1.831064e-01	3.650055e-04	3.650055e-04
2.800000e+00	3.000000e+00	2.694065e-01	8.504024e-04	8.504024e-04
3.000000e+00	3.200000e+00	3.450938e-01	4.413678e-04	4.413678e-04
3.200000e+00	3.400000e+00	3.161045e-01	4.619754e-04	4.619754e-04
3.400000e+00	3.600000e+00	2.937463e-01	4.694912e-04	4.694912e-04
3.600000e+00	3.800000e+00	2.740136e-01	6.931849e-04	6.931849e-04
3.800000e+00	4.000000e+00	2.549975e-01	4.818708e-04	4.818708e-04
4.000000e+00	4.200000e+00	2.356563e-01	4.454547e-04	4.454547e-04
4.200000e+00	4.400000e+00	2.183280e-01	4.685644e-04	4.685644e-04
4.400000e+00	4.600000e+00	1.987623e-01	6.295419e-04	6.295419e-04
4.600000e+00	4.800000e+00	1.805817e-01	2.530054e-04	2.530054e-04
4.800000e+00	5.000000e+00	1.629174e-01	2.527763e-04	2.527763e-04
5.000000e+00	5.200000e+00	1.446943e-01	2.077000e-04	2.077000e-04
5.200000e+00	5.400000e+00	1.266917e-01	2.975391e-04	2.975391e-04
5.400000e+00	5.600000e+00	1.101822e-01	2.072178e-04	2.072178e-04
5.600000e+00	5.800000e+00	9.442635e-02	1.421959e-04	1.421959e-04
5.800000e+00	6.000000e+00	7.903175e-02	1.299047e-04	1.299047e-04
6.000000e+00	6.200000e+00	6.592780e-02	2.620320e-04	2.620320e-04
