# BEGIN PLOT
Rebin=2
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_pT_incl
Title=h(2*,3*,4)
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_pT_incl
RightMargin=0.5
RatioPlot=1
LogY=1
RatioPlotYMax=1.5
RatioPlotYLabel=Ratio
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-nofac.yoda/MC_H2JETS_04_TIGHT/H_pT_incl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-mixed-ffac.yoda/MC_H2JETS_04_TIGHT/H_pT_incl
XLabel=$p_{T,h}$ (GeV)
LegendAlign=r
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,h}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.5
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/H_pT_incl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_pT_incl
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/H-N2-N3-4-25gev-mixed/H-N2-N3-4-25gev-SM.yoda/MC_H2JETS_04_TIGHT/H_pT_incl
Scale=1.23132253028
Title=SM
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	7.196949e-04	1.636804e-06	1.636804e-06
1.000000e+01	2.000000e+01	2.036968e-03	4.496144e-06	4.496144e-06
2.000000e+01	3.000000e+01	3.096556e-03	8.852093e-06	8.852093e-06
3.000000e+01	4.000000e+01	3.904599e-03	6.413436e-06	6.413436e-06
4.000000e+01	5.000000e+01	4.521932e-03	6.086206e-06	6.086206e-06
5.000000e+01	6.000000e+01	5.026466e-03	1.434607e-05	1.434607e-05
6.000000e+01	7.000000e+01	5.492724e-03	7.388725e-06	7.388725e-06
7.000000e+01	8.000000e+01	5.798342e-03	7.469511e-06	7.469511e-06
8.000000e+01	9.000000e+01	5.898136e-03	9.599365e-06	9.599365e-06
9.000000e+01	1.000000e+02	5.776628e-03	5.723360e-06	5.723360e-06
1.000000e+02	1.100000e+02	5.455650e-03	6.639178e-06	6.639178e-06
1.100000e+02	1.200000e+02	5.001258e-03	6.984564e-06	6.984564e-06
1.200000e+02	1.300000e+02	4.481064e-03	9.728096e-06	9.728096e-06
1.300000e+02	1.400000e+02	3.903840e-03	7.244624e-06	7.244624e-06
1.400000e+02	1.500000e+02	3.352561e-03	6.390428e-06	6.390428e-06
1.500000e+02	1.600000e+02	2.828967e-03	4.465213e-06	4.465213e-06
1.600000e+02	1.700000e+02	2.366270e-03	1.119283e-05	1.119283e-05
1.700000e+02	1.800000e+02	1.965077e-03	4.244687e-06	4.244687e-06
1.800000e+02	1.900000e+02	1.636492e-03	5.844925e-06	5.844925e-06
1.900000e+02	2.000000e+02	1.330067e-03	1.245059e-05	1.245059e-05
2.000000e+02	2.100000e+02	1.090903e-03	1.151433e-05	1.151433e-05
2.100000e+02	2.200000e+02	9.103876e-04	3.827677e-06	3.827677e-06
2.200000e+02	2.300000e+02	7.587330e-04	3.341423e-06	3.341423e-06
2.300000e+02	2.400000e+02	6.139397e-04	6.285072e-06	6.285072e-06
2.400000e+02	2.500000e+02	5.147850e-04	2.494307e-06	2.494307e-06
2.500000e+02	2.600000e+02	4.285203e-04	2.980188e-06	2.980188e-06
2.600000e+02	2.700000e+02	3.560264e-04	2.816775e-06	2.816775e-06
2.700000e+02	2.800000e+02	2.968622e-04	2.275733e-06	2.275733e-06
2.800000e+02	2.900000e+02	2.515324e-04	4.494093e-06	4.494093e-06
2.900000e+02	3.000000e+02	2.008956e-04	6.449653e-06	6.449653e-06
3.000000e+02	3.100000e+02	1.720058e-04	1.865937e-06	1.865937e-06
3.100000e+02	3.200000e+02	1.431747e-04	2.338025e-06	2.338025e-06
