# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RatioPlot=1
LogY=1
RatioPlotYMax=1.3
RatioPlotYLabel=Ratio
XLabel=$H_{T}(\text{jets})$ (GeV)
LegendAlign=r
XMax=500.0
YLabel=$ \text{d} \sigma/ \text{d}  H_{T}(\text{jets})$ (pb/GeV)
Legend=1
RatioPlotYMin=0.8
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/HT_jets_central
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/HT_jets_central
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	4.000000e+01	1.952199e-03	2.458775e-05	1.271000e-06
4.000000e+01	8.000000e+01	1.721096e-05	0.000000e+00	1.696813e-06
8.000000e+01	1.200000e+02	6.931850e-06	1.223788e-06	0.000000e+00
1.200000e+02	1.600000e+02	3.184727e-06	0.000000e+00	2.958575e-07
1.600000e+02	2.000000e+02	1.845620e-06	0.000000e+00	1.977885e-07
2.000000e+02	2.400000e+02	1.295217e-06	2.301498e-07	0.000000e+00
2.400000e+02	2.800000e+02	1.172143e-06	4.199488e-07	0.000000e+00
2.800000e+02	3.200000e+02	6.216980e-07	6.023475e-08	0.000000e+00
3.200000e+02	3.600000e+02	4.562093e-07	6.848225e-08	0.000000e+00
3.600000e+02	4.000000e+02	3.616980e-07	1.436417e-07	8.595175e-08
4.000000e+02	4.400000e+02	4.619395e-07	2.924087e-07	0.000000e+00
4.400000e+02	4.800000e+02	1.704036e-07	2.092772e-08	5.851057e-08
4.800000e+02	5.200000e+02	1.049763e-07	2.557000e-08	0.000000e+00
5.200000e+02	5.600000e+02	2.938992e-08	0.000000e+00	9.441298e-08
5.600000e+02	6.000000e+02	4.875188e-08	0.000000e+00	1.645625e-08
6.000000e+02	6.400000e+02	1.272634e-07	1.107990e-07	0.000000e+00
6.400000e+02	6.800000e+02	1.973386e-08	7.034621e-08	2.624534e-08
6.800000e+02	7.200000e+02	6.943397e-09	1.633097e-09	1.736292e-08
7.200000e+02	7.600000e+02	2.701405e-08	0.000000e+00	6.161530e-08
7.600000e+02	8.000000e+02	7.524360e-08	6.437850e-09	3.164912e-08
8.000000e+02	8.400000e+02	1.998580e-08	2.785613e-08	2.385175e-08
8.400000e+02	8.800000e+02	3.666190e-08	3.978196e-08	8.721157e-08
8.800000e+02	9.200000e+02	1.082712e-08	7.417062e-08	7.580252e-09
9.200000e+02	9.600000e+02	1.374498e-08	0.000000e+00	1.749805e-08
9.600000e+02	1.000000e+03	-5.326230e-08	0.000000e+00	6.997444e-08
1.000000e+03	1.040000e+03	-1.788574e-08	0.000000e+00	2.928736e-08
1.040000e+03	1.080000e+03	-1.304880e-08	0.000000e+00	3.126921e-08
1.080000e+03	1.120000e+03	-2.111371e-09	8.489944e-09	5.776841e-09
1.120000e+03	1.160000e+03	-3.982817e-08	2.413596e-07	5.349883e-08
1.160000e+03	1.200000e+03	-8.528740e-09	3.534276e-08	5.820849e-08
