# BEGIN PLOT
LegendOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl
DrawOnly=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLOPS-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H2Jets-NLO-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl
RightMargin=0.5
RatioPlotReference=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl
RatioPlot=1
LogY=1
RatioPlotYMax=4.0
RatioPlotYLabel=Ratio
XLabel=$p_{T,hj_1j_2}^{excl}$ (GeV)
LegendAlign=r
XMax=150.0
YLabel=$ \text{d} \sigma/ \text{d}  p_{T,hj_1j_2}^{excl}$ (pb/GeV)
Legend=1
RatioPlotYMin=0.0
# END PLOT


# BEGIN SPECIAL /MC_H2JETS_04_TIGHT/Hjj_pT_excl
\rput[tl](0.05,0.75){\parbox{5cm}{\textcolor{gray}{{\bf Herwig 7.2.3} \\ VBFNLO 3.0.0}}}
# END SPECIAL

# BEGIN HISTO1D //homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl
ErrorBandColor=red
ErrorBandOpacity=0.3
ErrorBands=1
ErrorBars=1
ErrorType=env
LineColor=red
LineStyle=solid
Path=//homes/tinghua1/higgs-anomalous/Herwig7/gcc11_install_test/plots/H-N2-N3-4-25gev-even-combine.yoda/MC_H2JETS_04_TIGHT/Hjj_pT_excl
RatioPlotSameStyle=1
Title=h(2*,3*,4)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+01	2.261326e-03	5.120180e-04	4.401820e-04
1.000000e+01	2.000000e+01	1.568494e-03	1.331490e-04	7.761500e-05
2.000000e+01	3.000000e+01	8.244779e-04	1.111423e-04	1.327763e-04
3.000000e+01	4.000000e+01	3.600813e-04	8.520740e-05	1.124394e-04
4.000000e+01	5.000000e+01	1.393351e-04	4.179543e-05	6.297270e-05
5.000000e+01	6.000000e+01	5.069228e-05	1.496291e-05	3.140070e-05
6.000000e+01	7.000000e+01	1.595657e-05	5.837030e-06	1.187847e-05
7.000000e+01	8.000000e+01	5.395310e-06	2.701949e-06	4.477592e-06
8.000000e+01	9.000000e+01	1.871180e-06	1.045762e-06	1.651873e-06
9.000000e+01	1.000000e+02	2.092312e-07	0.000000e+00	8.847248e-07
1.000000e+02	1.100000e+02	1.380044e-07	4.636415e-07	2.569100e-07
1.100000e+02	1.200000e+02	4.056933e-08	3.926076e-08	7.152607e-08
1.200000e+02	1.300000e+02	-8.813581e-09	0.000000e+00	1.983206e-07
1.300000e+02	1.400000e+02	1.252944e-08	2.064570e-08	0.000000e+00
1.400000e+02	1.500000e+02	5.714213e-10	6.627430e-11	2.291402e-09
1.500000e+02	1.600000e+02	1.723477e-10	1.306647e-10	6.814642e-10
1.600000e+02	1.700000e+02	4.545890e-11	1.373789e-10	0.000000e+00
1.700000e+02	1.800000e+02	1.037891e-11	1.024399e-11	1.473218e-10
1.800000e+02	1.900000e+02	1.083897e-11	1.083885e-11	0.000000e+00
1.900000e+02	2.000000e+02	8.261116e-16	0.000000e+00	1.086286e-13
2.000000e+02	2.100000e+02	3.590028e-17	3.553366e-17	3.401523e-15
2.100000e+02	2.200000e+02	1.282893e-18	1.282893e-18	9.266885e-17
2.200000e+02	2.300000e+02	6.047559e-24	0.000000e+00	1.206842e-18
2.300000e+02	2.400000e+02	0.000000e+00	0.000000e+00	2.563927e-15
2.400000e+02	2.500000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.500000e+02	2.600000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.600000e+02	2.700000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.700000e+02	2.800000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.800000e+02	2.900000e+02	0.000000e+00	0.000000e+00	0.000000e+00
2.900000e+02	3.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+02	3.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
